"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"            Under 5 years","109,630","±4,040","16,831","±1,354","158,216","±4,117","67,593","±3,755","861,299","±9,228","126,737","±3,873","74,858","±2,804","21,637","±2,104","17,051","±1,257","448,144","±6,962","246,498","±6,389","32,615","±1,859","45,685","±2,118","273,688","±5,944","160,229","±5,086","72,924","±2,722","71,926","±2,798","96,093","±4,272","97,948","±4,882","26,471","±1,413","148,184","±3,874","143,815","±3,275","209,055","±4,993","144,371","±3,018","62,453","±4,134","138,224","±3,962","22,617","±1,407","51,144","±1,698","65,716","±3,582","27,792","±1,539","215,138","±5,019","37,015","±2,770","397,022","±6,475","229,664","±5,447","21,072","±1,416","252,073","±5,987","87,760","±3,126","81,018","±2,615","262,075","±6,048","21,045","±1,532","112,577","±4,335","21,791","±1,509","154,153","±5,366","733,016","±10,890","99,131","±2,162","11,635","±894","198,005","±5,412","172,704","±4,007","30,035","±2,223","127,403","±3,117","13,171","±1,276","17,863","±2,436"
"            5 years","24,087","±2,934","3,198","±1,003","32,615","±3,340","14,581","±2,353","166,228","±8,911","27,505","±3,713","14,276","±1,880","4,063","±1,333","1,932","±823","94,398","±7,177","52,054","±4,371","7,303","±1,501","8,694","±1,247","56,307","±4,404","33,688","±3,664","16,560","±1,771","15,203","±2,101","18,735","±2,499","19,487","±2,990","5,580","±1,321","30,122","±3,538","26,333","±2,708","43,998","±3,278","26,780","±2,399","11,025","±1,825","29,117","±3,215","5,069","±1,010","8,876","±1,391","16,679","±2,548","5,334","±1,038","48,606","±4,350","8,710","±1,590","80,253","±6,819","49,759","±3,954","4,785","±1,263","52,851","±4,440","19,136","±2,333","16,826","±2,393","58,716","±4,015","5,051","±1,341","24,554","±3,521","4,487","±960","30,518","±2,936","154,695","±8,943","22,573","±2,727","2,326","±697","38,170","±3,557","37,214","±3,406","6,033","±1,406","26,124","±2,362","3,551","±1,001","5,266","±1,674"
"            6 to 11 years","140,937","±6,041","27,301","±2,132","212,902","±5,900","89,910","±5,013","1,155,230","±17,636","167,594","±6,222","98,377","±4,963","28,382","±2,576","18,078","±2,876","582,881","±12,852","331,903","±9,417","39,242","±2,902","64,167","±3,167","369,000","±9,629","209,363","±6,260","103,819","±3,630","89,043","±3,739","126,805","±4,852","123,131","±6,237","33,523","±2,504","195,332","±6,352","187,417","±5,935","268,994","±6,560","188,699","±4,715","82,572","±4,477","186,262","±6,575","34,782","±2,097","71,157","±3,433","93,095","±5,096","35,899","±2,276","278,032","±7,474","52,826","±3,790","506,340","±12,721","296,383","±7,930","27,780","±1,890","339,263","±8,673","121,584","±3,964","113,273","±4,683","348,409","±8,417","28,491","±2,419","147,015","±4,859","29,516","±2,083","191,227","±6,830","992,089","±20,327","137,912","±4,047","16,789","±1,498","267,224","±6,854","236,363","±6,662","45,082","±2,626","176,933","±5,142","18,200","±1,716","34,041","±3,569"
"            12 to 14 years","77,212","±4,493","12,782","±1,642","119,750","±5,568","43,009","±3,860","627,104","±13,865","97,048","±4,967","56,068","±4,009","16,671","±2,593","6,987","±2,137","327,064","±11,173","180,953","±7,476","22,265","±2,269","40,122","±2,634","194,175","±8,183","109,356","±5,173","53,395","±2,929","55,921","±3,785","68,217","±4,056","64,928","±4,308","17,408","±2,097","100,241","±4,901","100,122","±5,282","155,181","±5,680","100,036","±3,343","43,008","±3,589","101,783","±4,865","18,509","±1,481","36,283","±2,178","47,396","±3,593","18,869","±2,008","152,751","±6,748","32,620","±3,268","270,247","±9,997","160,981","±6,812","13,486","±2,049","176,124","±6,940","68,952","±3,835","67,092","±4,337","189,521","±7,735","14,097","±2,091","79,200","±4,235","16,211","±2,115","107,049","±5,939","540,494","±16,859","72,109","±4,190","9,556","±1,347","136,555","±6,096","124,583","±6,753","26,794","±2,615","91,038","±4,671","9,740","±1,389","24,805","±2,985"
"            15 years","27,933","±2,741","3,594","±924","39,425","±3,316","17,384","±2,340","208,062","±7,767","31,612","±2,873","19,449","±1,995","4,858","±1,277","2,430","±1,100","108,126","±5,936","62,520","±4,116","7,006","±1,059","12,695","±1,610","66,586","±4,203","44,564","±3,312","20,197","±1,595","16,528","±1,661","25,040","±2,237","23,936","±2,745","7,922","±1,451","37,535","±3,450","35,513","±3,095","54,346","±3,592","32,893","±2,333","17,084","±2,380","33,258","±3,132","5,859","±1,188","12,207","±1,776","16,688","±2,235","5,576","±1,201","56,237","±4,034","9,743","±1,924","92,332","±4,684","56,984","±4,378","4,319","±1,020","64,548","±4,162","24,780","±2,005","24,484","±2,899","64,424","±4,089","4,860","±1,465","28,493","±2,799","5,249","±917","35,576","±3,391","188,959","±8,435","23,981","±2,147","3,283","±780","45,932","±3,208","38,750","±2,864","6,595","±1,264","33,612","±2,124","3,696","±954","8,906","±1,582"
"            16 and 17 years","54,848","±3,623","7,648","±1,196","79,473","±4,374","31,448","±2,980","440,538","±8,856","63,629","±3,106","38,013","±2,501","11,257","±1,489","4,878","±1,221","228,755","±6,977","129,424","±5,560","13,602","±1,169","25,600","±2,196","149,074","±4,866","77,086","±3,844","37,214","±2,175","36,492","±2,434","45,156","±2,870","47,727","±4,099","12,273","±1,181","69,801","±3,946","68,639","±3,468","103,268","±4,398","73,246","±2,790","32,270","±2,584","70,597","±3,612","11,939","±1,155","24,951","±1,966","36,430","±2,780","15,173","±1,458","97,814","±4,492","22,906","±2,133","180,129","±5,281","114,652","±5,507","7,632","±1,139","121,718","±4,548","46,028","±2,243","44,238","±3,380","138,366","±4,871","10,438","±1,542","58,383","±4,684","11,571","±1,060","75,897","±4,818","358,166","±9,046","51,189","±2,412","5,784","±1,026","92,652","±3,382","81,620","±3,676","19,110","±1,997","65,452","±2,848","6,040","±1,182","16,469","±2,162"
"            18 to 24 years","144,832","±5,612","22,675","±1,852","253,156","±5,949","95,469","±3,538","1,289,750","±12,993","183,848","±5,317","112,617","±3,706","28,858","±1,551","16,727","±2,299","663,479","±9,385","359,608","±7,145","38,904","±1,435","65,581","±2,452","409,638","±5,762","212,897","±5,883","94,622","±3,555","92,741","±4,164","126,198","±4,495","124,244","±5,647","34,775","±1,737","193,793","±4,737","216,277","±5,837","312,268","±6,622","172,729","±4,897","89,357","±4,540","192,951","±4,616","30,770","±2,249","62,860","±3,011","102,908","±3,042","41,829","±1,871","301,643","±5,201","64,734","±3,180","583,555","±8,160","335,127","±7,243","24,020","±2,546","337,470","±6,155","123,666","±3,560","120,748","±4,678","363,062","±6,056","32,936","±2,026","153,559","±4,849","25,849","±2,320","219,054","±5,928","1,034,852","±12,294","145,714","±3,962","16,176","±1,730","275,133","±6,201","236,690","±4,301","47,696","±2,555","186,580","±5,224","15,256","±1,890","86,600","±4,831"
"            25 to 34 years","268,581","±6,251","46,385","±2,008","430,653","±5,610","160,943","±4,339","2,425,167","±13,732","404,531","±5,643","194,319","±2,880","54,724","±1,855","70,760","±1,940","1,195,442","±12,288","643,609","±8,165","80,800","±2,301","106,142","±3,002","721,805","±6,897","375,968","±5,517","167,245","±3,282","161,070","±3,724","233,182","±4,859","229,778","±6,001","72,921","±2,534","356,289","±3,997","429,157","±4,247","542,869","±6,030","324,890","±3,727","145,352","±4,949","348,442","±5,934","60,787","±2,034","106,178","±2,540","190,786","±4,107","78,690","±2,295","522,503","±5,175","104,699","±3,410","1,170,103","±7,535","620,592","±7,724","47,565","±2,844","642,312","±6,801","215,391","±3,784","249,746","±4,788","692,132","±6,318","66,152","±2,585","286,787","±6,781","48,083","±2,334","413,791","±6,603","1,836,277","±12,170","221,376","±3,473","33,132","±1,517","505,359","±7,594","498,660","±6,151","78,184","±3,221","319,104","±4,142","32,129","±2,382","117,065","±5,859"
"            35 to 44 years","277,010","±5,594","47,334","±1,693","402,393","±5,646","163,628","±4,680","2,331,137","±11,934","385,248","±4,177","209,788","±3,363","58,299","±1,766","53,234","±1,734","1,256,723","±10,151","664,142","±8,675","84,556","±2,339","115,622","±2,458","738,048","±7,020","380,822","±5,511","179,942","±3,306","168,694","±3,397","235,678","±4,067","251,001","±5,995","79,610","±2,150","397,165","±3,877","414,014","±4,768","524,503","±5,932","353,114","±3,940","164,524","±5,448","356,502","±5,150","63,245","±2,123","119,473","±2,580","190,282","±3,598","80,472","±2,032","548,505","±5,098","108,894","±3,406","1,093,438","±8,330","625,181","±6,971","47,904","±2,148","640,181","±6,208","225,745","±2,937","261,868","±4,021","728,676","±6,065","62,135","±2,325","303,207","±4,855","50,848","±2,069","408,712","±5,583","1,849,329","±11,049","209,480","±2,862","37,049","±1,061","544,368","±5,935","493,492","±4,972","84,006","±3,166","334,424","±3,887","35,727","±1,706","129,582","±5,037"
"            45 to 54 years","277,700","±4,632","34,298","±1,630","386,126","±4,249","159,066","±3,722","2,171,028","±9,422","320,598","±4,040","208,104","±2,833","57,425","±1,369","32,664","±1,081","1,259,139","±10,678","652,006","±5,844","75,704","±1,727","102,928","±1,874","704,302","±5,116","367,558","±5,051","164,823","±2,762","145,491","±2,430","237,662","±3,779","225,919","±5,427","75,974","±2,058","359,866","±4,428","388,541","±4,324","538,324","±4,956","302,899","±3,036","153,271","±4,741","326,763","±3,748","56,168","±1,852","100,301","±2,227","178,798","±3,105","79,036","±1,692","556,371","±4,514","104,006","±3,114","1,068,395","±7,724","621,779","±6,739","32,951","±1,690","630,617","±5,211","197,219","±2,140","233,653","±2,994","687,165","±5,916","58,884","±2,112","290,130","±4,630","42,148","±1,466","390,490","±5,127","1,691,335","±10,076","178,804","±2,652","34,733","±1,039","491,743","±5,257","417,786","±4,809","93,808","±2,272","311,825","±3,063","25,519","±1,548","136,878","±4,504"
"            55 to 64 years","289,415","±3,820","38,203","±1,695","394,806","±4,451","160,895","±3,193","2,104,126","±8,743","311,048","±3,495","235,397","±3,605","66,342","±1,677","24,716","±1,625","1,378,679","±7,017","606,854","±6,077","80,877","±1,333","102,883","±1,800","720,036","±5,850","374,492","±3,595","182,792","±2,413","160,513","±2,147","248,566","±3,736","243,444","±4,340","96,284","±2,317","386,736","±3,654","439,435","±3,419","592,899","±4,618","334,021","±2,701","155,733","±2,795","352,664","±3,686","63,989","±1,486","106,159","±1,553","171,875","±3,157","102,619","±1,940","577,582","±4,419","111,563","±2,311","1,164,549","±6,614","628,910","±5,220","39,076","±1,127","678,384","±5,488","202,098","±2,217","224,389","±3,775","777,906","±5,362","69,087","±1,815","321,309","±4,432","51,569","±1,309","403,924","±4,408","1,489,939","±7,767","143,212","±2,261","44,553","±985","512,756","±4,309","413,122","±4,374","98,241","±2,510","365,764","±3,142","31,981","±1,435","145,511","±4,147"
"            65 to 74 years","253,502","±3,372","30,487","±1,031","379,686","±4,448","148,260","±3,188","1,698,507","±7,809","268,922","±2,723","190,029","±2,771","65,610","±1,236","23,110","±1,169","1,247,392","±9,108","482,902","±5,512","78,392","±1,404","96,084","±2,107","600,551","±4,898","330,703","±3,929","157,547","±2,131","142,312","±2,150","220,758","±2,555","216,885","±3,478","88,434","±1,573","307,014","±3,429","352,955","±3,953","540,027","±3,598","281,557","±2,552","138,929","±2,684","312,016","±2,980","63,500","±1,541","92,061","±1,768","157,345","±2,576","81,446","±1,513","451,356","±4,065","112,342","±2,108","943,380","±7,333","539,936","±5,639","33,785","±1,110","606,115","±4,573","183,512","±1,980","231,473","±3,059","702,957","±5,146","56,971","±1,747","292,712","±3,447","47,144","±1,309","348,419","±3,990","1,179,703","±8,871","118,743","±1,739","39,042","±974","421,119","±5,030","375,047","±3,953","100,071","±1,973","311,147","±3,349","31,971","±1,034","131,171","±4,091"
"            75 years and over","179,748","±2,704","17,114","±874","286,053","±3,571","104,462","±2,733","1,249,734","±7,667","174,326","±2,682","140,397","±2,818","42,262","±1,098","18,736","±988","1,027,152","±7,828","320,876","±4,076","66,232","±1,770","59,709","±1,518","440,329","±4,919","224,999","±2,980","113,748","±2,173","97,684","±2,040","144,308","±2,732","142,129","±2,823","59,221","±1,551","212,386","±3,361","257,542","±3,827","365,528","±3,071","186,112","±3,016","91,052","±2,273","216,992","±2,602","40,786","±1,069","63,786","±1,465","103,234","±2,218","53,851","±1,299","338,692","±3,959","79,787","±2,707","712,345","±6,548","370,323","±4,699","23,327","±1,255","426,561","±4,247","128,732","±1,839","156,837","±2,448","515,189","±4,249","41,042","±1,409","196,878","±3,564","28,602","±1,134","235,371","±3,429","761,116","±7,867","77,543","±1,635","27,022","±926","299,741","±3,813","256,309","±2,779","71,041","±1,574","211,028","±2,505","19,796","±803","124,707","±4,438"
