State,Edu_Total:,Edu_10th grade,Edu_11th grade,"Edu_12th grade, no diploma",Edu_1st grade,Edu_2nd grade,Edu_3rd grade,Edu_4th grade,Edu_5th grade,Edu_6th grade,Edu_7th grade,Edu_8th grade,Edu_9th grade,Edu_Associate's degree,Edu_Bachelor's degree,Edu_Doctorate degree,Edu_GED or alternative credential,Edu_Kindergarten,Edu_Master's degree,Edu_No schooling completed,Edu_Nursery school,Edu_Professional school degree,Edu_Regular high school diploma,"Edu_Some college, 1 or more years, no degree","Edu_Some college, less than 1 year",Race_Total:,Race_American Indian and Alaska Native alone,Race_Asian alone,Race_Black or African American alone,Race_Native Hawaiian and Other Pacific Islander alone,Race_Some Other Race alone,Race_Two or More Races:,Race_White alone,"Race_Two races excluding Some Other Race, and three or more races",Race_Two races including Some Other Race,Emp_Total:,Emp_In labor force:,Emp_Not in labor force,Emp_Armed Forces,Emp_Civilian labor force:,Emp_Employed,Emp_Unemployed,Inc_Median household income in the past 12 months (in 2023 inflation-adjusted dollars),Pov_Total:,Pov_Income in the past 12 months at or above poverty level:,Pov_Income in the past 12 months below poverty level:,Pov_Female:,Pov_Male:,Pov_12 to 14 years,Pov_15 years,Pov_16 and 17 years,Pov_18 to 24 years,Pov_25 to 34 years,Pov_35 to 44 years,Pov_45 to 54 years,Pov_5 years,Pov_55 to 64 years,Pov_6 to 11 years,Pov_65 to 74 years,Pov_75 years and over,Pov_Under 5 years,state_abbr,total_police_killings,Population,killings_per_100k
Puerto Rico,"2,407,254","30,862","47,208","15,317","6,816","12,052","21,484","26,638","24,581","51,912","32,438","45,922","71,404","299,624","524,456","34,745","64,425",48,"149,538","45,942",324,"32,380","589,583","240,421","39,134","3,205,691","7,282","4,480","169,924",426,"1,024,568","1,236,714","762,297","107,825","1,128,889","2,777,060","1,307,588","1,469,472","2,325","1,305,263","1,185,629","119,634","25,621","3,177,647","1,920,040","1,257,607","698,785","558,822","25,521","11,183","17,946","54,834","61,358","57,919","54,338","8,246","71,338","48,995","61,666","58,782","26,696",,,3205691,
Rhode Island,"786,493","10,366","9,344","12,037",0,"1,034","1,753","2,529",675,"4,876","1,214","8,783","8,716","60,077","182,054","17,113","35,686",0,"88,869","19,886",837,"19,063","171,864","82,066","47,651","1,095,962","8,628","37,419","59,714",307,"78,512","147,889","763,493","50,705","97,184","916,988","592,054","324,934","4,300","587,754","559,742","28,012","84,972","1,055,352","940,940","114,412","68,775","45,637",796,768,"1,659","4,273","5,071","4,813","4,077",463,"6,597","4,606","5,146","3,989","3,379",RI,6.0,1095962,0.5474642368987246
South Carolina,"3,745,394","62,779","65,736","73,309","1,394","2,132","4,120","3,805","5,414","17,667","12,771","23,344","40,791","358,438","765,869","49,717","166,159","1,445","348,125","51,775",440,"69,137","889,939","483,050","248,038","5,373,555","22,700","94,551","1,311,022","5,988","149,361","374,648","3,415,285","200,025","174,623","4,370,726","2,671,185","1,699,541","41,681","2,629,504","2,516,719","112,785","67,804","5,231,370","4,504,571","726,799","414,621","312,178","18,421","7,265","12,473","38,839","30,066","31,988","23,781","5,651","37,509","38,335","26,856","14,984","26,010",SC,129.0,5373555,2.4006453828052376
South Dakota,"615,517","6,325","9,249","6,903",465,505,350,101,96,305,615,"4,987","2,391","74,196","141,083","9,860","27,289",156,"40,915","7,832",10,"13,109","143,016","86,088","39,671","919,318","70,936","13,999","22,730",299,"15,338","56,337","739,679","34,551","21,786","725,788","488,674","237,114","3,351","485,323","472,581","12,742","71,810","890,853","786,169","104,684","56,280","48,404","3,276","1,017","1,462","5,997","5,792","5,879","3,514",899,"4,828","5,879","2,951","2,113","4,797",SD,28.0,919318,3.045736078266715
Tennessee,"4,931,967","69,931","86,898","81,965",866,"2,107","8,521","4,136","7,310","21,323","14,018","54,109","57,135","395,771","952,495","79,125","257,988","1,760","431,782","74,748","1,813","99,210","1,271,513","634,078","323,365","7,126,489","24,046","130,735","1,089,441","4,253","198,904","529,350","5,149,760","255,676","273,674","5,747,865","3,603,424","2,144,441","18,923","3,584,501","3,442,420","142,081","67,631","6,969,478","5,991,018","978,460","550,796","427,664","23,998","9,805","15,314","46,894","41,428","39,093","42,285","10,584","47,017","52,777","38,850","20,918","38,701",TN,215.0,7126489,3.016913377681492
Texas,"20,029,447","259,479","301,631","417,748","14,172","36,439","66,812","43,804","71,626","317,371","88,614","197,725","341,763","1,612,998","4,324,866","283,451","875,038","6,373","1,864,054","566,713","6,271","386,035","3,977,707","2,639,817","1,328,940","30,503,301","267,945","1,733,933","3,761,423","43,245","3,030,208","7,108,828","14,557,719","1,090,020","6,018,808","23,857,262","15,735,802","8,121,460","122,987","15,612,815","14,926,761","686,054","75,780","29,889,559","25,802,708","4,086,851","2,267,191","1,819,660","118,646","41,540","71,643","227,577","196,289","195,257","150,179","34,665","161,456","242,695","122,045","76,132","181,536",TX,732.0,30503301,2.3997402772899887
Utah,"2,085,019","15,957","18,695","34,163",270,"1,382","1,841",540,"2,034","12,077","4,469","6,935","14,018","201,491","513,565","33,983","66,160",315,"211,283","31,080",443,"41,545","395,800","311,775","165,198","3,417,734","36,787","84,729","38,380","33,925","212,123","326,043","2,685,747","129,025","197,018","2,600,950","1,825,335","775,615","6,626","1,818,709","1,758,060","60,649","93,421","3,363,147","3,058,898","304,249","157,355","146,894","7,554","3,419","4,259","31,016","18,916","16,957","10,849","1,758","8,971","17,763","8,434","5,055","11,943",UT,90.0,3417734,2.6333237168252412
Vermont,"471,255","3,657","4,664","3,694",0,64,91,0,49,351,680,"2,872","2,237","41,567","118,611","9,464","15,896",30,"65,535","2,717",84,"12,197","111,732","49,457","25,606","647,464","1,493","11,202","7,843",229,"6,904","37,506","582,287","21,738","15,768","547,286","355,375","191,911",353,"355,022","345,752","9,270","81,211","624,370","563,957","60,413","31,970","28,443","1,244",425,564,"4,299","2,742","2,602","3,307",94,"4,777","2,032","3,343","1,735","1,279",VT,13.0,647464,2.0078336401715
Virginia,"6,037,339","78,382","76,836","96,424","2,481","4,347","6,363","4,499","8,582","30,863","15,353","42,212","51,644","462,513","1,446,760","128,399","240,009","1,258","817,525","95,283","1,940","168,678","1,212,069","683,612","361,307","8,715,698","32,770","603,772","1,604,133","7,513","400,443","852,335","5,214,732","422,726","429,609","7,066,427","4,611,949","2,454,478","129,318","4,482,631","4,318,000","164,631","89,931","8,472,782","7,608,388","864,394","491,947","372,447","19,399","6,248","12,347","48,662","40,103","39,856","35,578","7,025","42,579","40,823","31,938","21,465","26,424",VA,139.0,8715698,1.5948235012273257
Washington,"5,511,197","44,639","57,848","101,358",888,"3,543","6,537","4,537","9,278","35,160","7,260","20,409","39,103","540,688","1,340,967","105,748","212,750",961,"651,033","88,591",879,"131,590","975,923","732,131","399,376","7,812,880","95,073","780,684","315,904","57,334","446,776","1,024,245","5,092,864","523,169","501,076","6,357,108","4,136,441","2,220,667","66,907","4,069,534","3,887,150","182,384","94,605","7,678,825","6,884,399","794,426","442,364","352,062","16,372","6,392","10,674","44,786","41,723","42,772","29,812","5,747","41,917","34,434","31,398","17,840","28,195",WA,221.0,7812880,2.8286624138601897
West Virginia,"1,259,219","28,351","27,664","19,847",259,153,"1,011",561,"1,582","2,034","5,483","14,619","21,334","107,668","182,741","15,880","80,694",118,"86,518","15,187",518,"16,940","419,426","137,228","73,403","1,770,071","1,778","12,654","57,341",193,"16,064","87,957","1,594,084","56,018","31,939","1,464,056","795,817","668,239","2,659","793,158","757,305","35,853","55,948","1,716,152","1,430,372","285,780","159,622","126,158","5,975","1,457","3,727","15,935","16,545","13,132","10,875","3,033","17,162","11,300","10,594","6,808","9,615",WV,75.0,1770071,4.237118172095921
Wisconsin,"4,116,216","33,467","45,314","65,622",841,"1,966","1,748","1,609","4,914","12,757","3,498","25,922","18,010","462,605","914,463","58,965","145,538",191,"346,266","44,867",196,"69,705","1,067,178","513,924","276,650","5,910,955","48,468","179,101","350,052","2,173","158,628","448,938","4,723,595","195,705","253,233","4,822,901","3,146,602","1,676,299","3,112","3,143,490","3,056,531","86,959","74,631","5,781,514","5,164,640","616,874","334,440","282,434","12,196","4,129","9,689","41,818","28,652","26,420","21,103","6,134","35,622","30,980","27,380","17,666","20,645",WI,121.0,5910955,2.0470465432404747
Wyoming,"403,853","4,065","5,633","4,886",352,110,0,87,46,"1,364",371,"2,325","1,552","46,871","77,762","5,579","21,949",61,"31,467","3,603",89,"8,068","89,085","63,174","35,354","584,057","14,337","5,057","4,038",118,"19,710","48,669","492,128","20,735","27,934","469,355","298,221","171,134","3,653","294,568","285,046","9,522","72,415","571,028","506,719","64,309","36,031","28,278","2,159",710,900,"3,315","3,318","3,030","1,718",147,"3,148","3,290","2,373","1,500","2,670",WY,28.0,584057,4.794052635273612
